new crir
new task..............,hasoto,0
0,"['A021', '0']"
0,19,"['B3906', '16']"
19,4,17,"['B5848', '22']"
40,1,19,"['B0165', '14']"
60,4,16,"['B4020', '34']"
80,7,22,"['B5762', '10']"
109,4,14,"['B6340', '30']"
127,2,21,"['A021', '0']"
new task..............,hasoto,0
150,"['A021', '0']"
150,28,"['B2899', '20']"
178,3,18,"['B0369', '20']"
199,3,18,"['B0865', '22']"
220,3,19,"['B5996', '17']"
242,10,17,"['B2202', '28']"
269,8,21,"['B2904', '8']"
298,7,13,"['B3901', '4']"
318,12,11,"['A021', '0']"
new task..............,hasoto,0
341,"['A021', '0']"
341,10,"['B5988', '41']"
351,2,24,"['B2704', '17']"
377,2,17,"['B4626', '27']"
396,2,21,"['B9134', '19']"
419,9,18,"['A021', '0']"
new task..............,hasoto,1
446,"['A022', '0']"
446,13,"['B3943', '78']"
459,3,31,"['B7796', '10']"
493,2,14,"['B3011', '21']"
509,18,19,"['S084', '2', 540, 628]"
546,2,"['B1336', '-2', 630]"
548,6,9,"['A022', '0']"
82,988
new crir
new task..............,hasoto,0
0,"['A022', '0']"
0,3,"['B6195', '27']"
3,1,21,"['B4052', '10']"
25,1,14,"['B8252', '41']"
40,2,24,"['B6484', '32']"
66,1,22,"['B8872', '23']"
89,5,19,"['A022', '0']"
new task..............,hasoto,0
113,"['A022', '0']"
113,7,"['B1081', '21']"
120,1,19,"['B7321', '47']"
140,1,26,"['B3740', '25']"
167,2,20,"['B7268', '46']"
189,9,25,"['A022', '0']"
new task..............,hasoto,0
223,"['A022', '0']"
223,3,"['B7449', '25']"
226,1,20,"['B2456', '67']"
247,2,30,"['B3552', '48']"
279,5,26,"['A022', '0']"
new task..............,hasoto,0
310,"['A022', '0']"
310,1,"['B5371', '30']"
311,1,21,"['B4460', '20']"
333,2,18,"['B8783', '29']"
353,1,21,"['B2629', '38']"
375,5,23,"['A022', '0']"
new task..............,hasoto,1
403,"['A022', '0']"
403,13,"['B5820', '29']"
416,2,21,"['B0521', '42']"
439,16,24,"['S084', '2', 405, 493]"
479,2,"['B1336', '-2', 495]"
481,17,9,"['B7684', '23']"
507,1,19,"['B8445', '41']"
527,11,24,"['A022', '0']"
83,922
