"['A025', '0']","['B2413', '46']","['B4612', '61']","['A025', '0']"
"['A025', '0']","['B0848', '39']","['B4147', '34']","['B4025', '66']","['A025', '0']"
"['A025', '0']","['B5356', '32']","['B0917', '36']","['B4748', '49']","['A025', '0']"
"['A025', '0']","['B8271', '29']","['B0910', '37']","['B4503', '30']","['B0414', '39']","['A025', '0']"
"['A025', '0']","['B8100', '33']","['B1547', '38']","['B6294', '40']","['A025', '0']"
"['A025', '0']","['B1529', '54']","['B7903', '36']","['B6772', '48']","['A025', '0']"
"['A025', '0']","['B5188', '46']","['B8306', '15']","['B6626', '22']","['B5559', '23']","['B0702', '28']","['S368', '1', 257, 341]","['B7641', '-1', 347]","['S368', '1', 267, 354]","['B1309', '-1', 357]","['S352', '1', 253, 338]","['B5294', '-1', 343]","['S361', '2', 253, 337]","['B8355', '-2', 343]","['S361', '1', 283, 365]","['B2029', '-1', 373]","['S396', '1', 294, 371]","['B6289', '-1', 384]","['S387', '2', 368, 453]","['B1585', '-2', 458]","['S354', '1', 414, 500]","['B5294', '-1', 504]","['S361', '3', 363, 450]","['B1560', '-3', 453]","['S396', '3', 417, 469]","['B7314', '-3', 507]","['S396', '3', 529, 557]","['B3081', '-3', 619]","['A025', '0']"
"['A025', '0']","['B2657', '73']","['B0087', '47']","['A025', '0']"
"['A025', '0']","['B0583', '33']","['B4391', '35']","['B7033', '46']","['A025', '0']"
"['A025', '0']","['B1249', '34']","['B8808', '23']","['B2267', '32']","['A025', '0']"
"['A025', '0']","['B2220', '47']","['B7462', '50']","['B0418', '12']","['B5294', '20']","['A025', '0']"
"['A025', '0']","['B1560', '38']","['B4320', '59']","['A025', '0']"
"['A025', '0']","['B3350', '36']","['B5427', '49']","['B8355', '25']","['A025', '0']"
"['A025', '0']","['B5109', '27']","['B3516', '23']","['B1095', '23']","['B7514', '24']","['B3879', '29']","['A025', '0']"
"['A025', '0']","['B6319', '68']","['B2140', '30']","['A025', '0']"
"['A025', '0']","['B5613', '27']","['B3304', '22']","['B2557', '44']","['A025', '0']"
"['A025', '0']","['B8869', '37']","['B2565', '26']","['B7841', '32']","['A025', '0']"
"['A025', '0']","['B4150', '19']","['B6445', '27']","['B9143', '34']","['B8611', '34']","['A025', '0']"
"['A025', '0']","['B1377', '60']","['B7050', '40']","['A025', '0']"
"['A025', '0']","['B7629', '34']","['B9067', '43']","['B1434', '29']","['B2556', '30']","['A025', '0']"
"['A025', '0']","['B5428', '34']","['B5777', '33']","['B7226', '58']","['A025', '0']"
"['A025', '0']","['B7221', '24']","['B1292', '61']","['B7784', '40']","['A025', '0']"
"['A025', '0']","['B4961', '52']","['B8730', '39']","['B1417', '47']","['A025', '0']"
"['A025', '0']","['B4123', '60']","['B6054', '35']","['B0951', '14']","['A025', '0']"
"['A025', '0']","['B8406', '32']","['B3013', '34']","['B5420', '64']","['A025', '0']"
"['A025', '0']","['B7773', '37']","['B8894', '60']","['B4920', '30']","['A025', '0']"
"['A025', '0']","['B2057', '70']","['B7219', '29']","['B6023', '30']","['A025', '0']"
"['A025', '0']","['B9122', '26']","['B3068', '41']","['B2597', '11']","['B7049', '24']","['B3871', '32']","['A025', '0']"
"['A025', '0']","['B5155', '41']","['B6298', '45']","['B2196', '42']","['A025', '0']"
"['A025', '0']","['B4545', '39']","['B8507', '30']","['B7966', '17']","['B1881', '51']","['A025', '0']"
"['A025', '0']","['B9112', '47']","['B5165', '30']","['B6694', '47']","['A025', '0']"
"['A025', '0']","['B7303', '53']","['B5636', '60']","['A025', '0']"
"['A025', '0']","['B0211', '43']","['B3582', '69']","['A025', '0']"
"['A025', '0']","['B9170', '61']","['B3973', '20']","['B6510', '8']","['B0331', '37']","['A025', '0']"
"['A025', '0']","['B6423', '47']","['B3509', '38']","['B1585', '49']","['A025', '0']"
"['A025', '0']","['B0263', '41']","['B7644', '34']","['B7595', '55']","['A025', '0']"
"['A025', '0']","['B5781', '37']","['B3669', '39']","['B5354', '41']","['A025', '0']"
"['A025', '0']","['B0517', '30']","['B4041', '45']","['B5837', '35']","['A025', '0']"
"['A025', '0']","['B3175', '46']","['B8485', '45']","['B7978', '32']","['A025', '0']"
"['A025', '0']","['B4091', '35']","['B1175', '47']","['B8528', '32']","['A025', '0']"
"['A025', '0']","['B1384', '11']","['B0437', '47']","['B8116', '35']","['B6615', '28']","['B7673', '12']","['A025', '0']"
"['A025', '0']","['B7134', '30']","['B6515', '39']","['B2579', '36']","['B5192', '27']","['A025', '0']"
"['A025', '0']","['B2686', '24']","['B9056', '30']","['B0468', '48']","['A025', '0']"
"['A025', '0']","['B2894', '51']","['B1457', '31']","['B7151', '44']","['A025', '0']"
"['A025', '0']","['B6464', '45']","['B2197', '50']","['A025', '0']"
"['A025', '0']","['B3365', '45']","['B7641', '44']","['B0864', '47']","['A025', '0']"
"['A025', '0']","['B3898', '19']","['B6202', '37']","['B0494', '73']","['A025', '0']"
"['A025', '0']","['B4537', '35']","['B5302', '37']","['B1924', '37']","['A025', '0']"
"['A025', '0']","['B2714', '55']","['B8029', '51']","['A025', '0']"
"['A025', '0']","['B6534', '40']","['B3505', '44']","['B8833', '37']","['A025', '0']"
"['A025', '0']","['B4756', '53']","['B6360', '56']","['A025', '0']"
"['A025', '0']","['B3144', '57']","['B0043', '31']","['B7429', '33']","['A025', '0']"
"['A025', '0']","['B5198', '36']","['B0814', '33']","['B4285', '36']","['A025', '0']"
"['A025', '0']","['B2029', '18']","['B4101', '40']","['B5717', '52']","['B4346', '26']","['A025', '0']"
"['A025', '0']","['B2396', '75']","['B3358', '51']","['A025', '0']"
"['A025', '0']","['B6550', '49']","['B6535', '37']","['B2259', '54']","['A025', '0']"
"['A025', '0']","['B4427', '41']","['B8860', '39']","['B5285', '38']","['A025', '0']"
"['A025', '0']","['B8697', '31']","['B4393', '38']","['B6925', '62']","['A025', '0']"
"['A025', '0']","['B6286', '57']","['B3931', '38']","['B2938', '31']","['A025', '0']"
"['A025', '0']","['B5774', '68']","['B2105', '22']","['B5414', '48']","['A025', '0']"
"['A025', '0']","['B7180', '20']","['B8292', '20']","['B7616', '53']","['B3422', '22']","['S396', '2', 212, 289]","['B2661', '-2', 302]","['S357', '3', 233, 318]","['B7033', '-3', 323]","['S352', '1', 247, 327]","['B5155', '-1', 337]","['S396', '1', 212, 286]","['B7912', '-1', 302]","['S361', '2', 245, 325]","['B7978', '-2', 335]","['S439', '1', 277, 365]","['B1930', '-1', 367]","['S361', '2', 296, 383]","['B4961', '-2', 386]","['S354', '1', 319, 405]","['B5294', '-1', 409]","['S352', '1', 362, 451]","['B2057', '-1', 452]","['S439', '2', 347, 434]","['B0019', '-2', 437]","['S399', '1', 411, 499]","['B8455', '-1', 501]","['S361', '4', 399, 481]","['B6510', '-4', 489]","['S352', '2', 504, 589]","['B2267', '-2', 594]","['S368', '1', 498, 579]","['B3144', '-1', 588]","['S396', '5', 518, 571]","['B0655', '-5', 608]","['S399', '2', 622, 708]","['B6423', '-2', 712]","['S441', '12', 620, 702]","['B1997', '-12', 710]","['S439', '1', 615, 702]","['B2071', '-1', 705]","['A025', '0']"
"['A025', '0']","['B8149', '29']","['B7962', '30']","['B1930', '15']","['B4910', '33']","['A025', '0']"
