"['A043', '0']","['B8208', '37']","['B7630', '67']","['A043', '0']"
"['A043', '0']","['B7442', '21']","['B2603', '38']","['B4256', '41']","['B6829', '20']","['A043', '0']"
"['A043', '0']","['B9094', '51']","['B1729', '58']","['A043', '0']"
"['A043', '0']","['B4744', '46']","['B2473', '66']","['A043', '0']"
"['A043', '0']","['B2773', '57']","['B0386', '58']","['A043', '0']"
"['A043', '0']","['B5337', '34']","['B6205', '39']","['B0996', '51']","['A043', '0']"
"['A043', '0']","['B2181', '49']","['B3003', '35']","['B0161', '44']","['A043', '0']"
"['A043', '0']","['B2941', '49']","['B4442', '41']","['B2166', '42']","['A043', '0']"
"['A043', '0']","['B7416', '59']","['B5765', '44']","['A043', '0']"
"['A043', '0']","['B4575', '49']","['B4797', '33']","['B8297', '26']","['A043', '0']"
"['A043', '0']","['B3313', '50']","['B6589', '33']","['B5488', '56']","['A043', '0']"
"['A043', '0']","['B3589', '46']","['B5569', '52']","['A043', '0']"
"['A043', '0']","['B7276', '49']","['B7832', '52']","['B8039', '27']","['A043', '0']"
"['A043', '0']","['B6854', '17']","['B2898', '61']","['B7560', '45']","['A043', '0']"
"['A043', '0']","['B6850', '44']","['B5516', '36']","['B6264', '37']","['A043', '0']"
"['A043', '0']","['B0505', '32']","['B5059', '24']","['B2766', '73']","['A043', '0']"
"['A043', '0']","['B7829', '55']","['B3157', '32']","['B7472', '38']","['A043', '0']"
"['A043', '0']","['B5836', '39']","['B7988', '26']","['B5117', '44']","['A043', '0']"
"['A043', '0']","['B7891', '28']","['B8576', '41']","['B4944', '41']","['A043', '0']"
"['A043', '0']","['B7117', '50']","['B6679', '49']","['A043', '0']"
"['A043', '0']","['B6055', '38']","['B5702', '28']","['B0929', '34']","['B1710', '26']","['A043', '0']"
"['A043', '0']","['B2712', '47']","['B1836', '42']","['B8042', '42']","['A043', '0']"
"['A043', '0']","['B1501', '27']","['B7689', '30']","['B2409', '16']","['B1823', '65']","['A043', '0']"
"['A043', '0']","['B1164', '38']","['B0807', '40']","['B8143', '34']","['A043', '0']"
"['A043', '0']","['B6098', '37']","['B1060', '93']","['A043', '0']"
"['A043', '0']","['B8391', '23']","['B4275', '49']","['B7783', '20']","['A043', '0']"
"['A043', '0']","['B1070', '49']","['B8854', '38']","['B6777', '44']","['A043', '0']"
"['A043', '0']","['B6424', '38']","['B3280', '32']","['B9130', '43']","['A043', '0']"
