new crir
new task..............,hasoto,0
0,"['A040', '0']"
0,4,"['B4727', '45']"
4,1,25,"['B9121', '28']"
30,1,21,"['B2535', '43']"
52,5,25,"['A040', '0']"
new task..............,hasoto,0
82,"['A040', '0']"
82,1,"['B5864', '44']"
83,1,25,"['B6247', '45']"
109,1,25,"['B0426', '38']"
135,3,23,"['A040', '0']"
new task..............,hasoto,1
161,"['A040', '0']"
161,4,"['B1916', '66']"
165,1,29,"['B2883', '57']"
195,3,28,"['S408', '1', 213, 300]"
226,3,"['B5387', '-1', 303]"
229,3,8,"['S408', '4', 225, 310]"
240,5,"['B3164', '-4', 315]"
245,8,11,"['S382', '3', 210, 297]"
264,3,"['B7032', '-3', 300]"
267,3,10,"['S382', '1', 211, 300]"
280,1,"['B4527', '-1', 301]"
281,1,8,"['S382', '1', 220, 308]"
290,2,"['B1276', '-1', 310]"
292,0,8,"['S378', '1', 232, 311]"
300,11,"['B7592', '-1', 322]"
311,13,8,"['S408', '2', 246, 333]"
332,3,"['B5387', '-2', 336]"
335,5,9,"['S411', '4', 303, 388]"
349,5,"['B5119', '-4', 393]"
354,10,11,"['S382', '1', 302, 391]"
375,1,"['B4527', '-1', 392]"
376,0,8,"['S391', '1', 331, 417]"
384,4,"['B6359', '-1', 421]"
388,2,8,"['A040', '0']"
new task..............,hasoto,1
227,"['A040', '0']"
227,6,"['B7925', '74']"
233,1,31,"['B0391', '24']"
265,5,20,"['S408', '3', 243, 328]"
290,5,"['B3164', '-3', 333]"
295,5,10,"['S408', '4', 238, 324]"
310,4,"['B8170', '-4', 328]"
314,4,11,"['S408', '4', 251, 337]"
329,4,"['B8170', '-4', 341]"
333,6,11,"['A040', '0']"
new task..............,hasoto,1
291,"['A040', '0']"
291,3,"['B8381', '36']"
294,4,23,"['S382', '1', 256, 344]"
321,2,"['B1276', '-1', 346]"
323,4,8,"['S408', '4', 262, 345]"
335,7,"['B4726', '-4', 352]"
342,8,11,"['B2797', '49']"
361,1,26,"['B7957', '40']"
388,4,24,"['A040', '0']"
185,681
new crir
new task..............,hasoto,0
0,"['A040', '0']"
0,5,"['B1726', '50']"
5,3,26,"['B1815', '13']"
34,2,16,"['B7855', '22']"
52,2,19,"['B1031', '24']"
73,9,20,"['A040', '0']"
new task..............,hasoto,0
102,"['A040', '0']"
102,2,"['B4016', '43']"
104,1,25,"['B7997', '52']"
130,1,27,"['B2303', '33']"
158,3,22,"['A040', '0']"
new task..............,hasoto,0
183,"['A040', '0']"
183,6,"['B0901', '18']"
189,2,18,"['B6664', '75']"
209,2,31,"['B1335', '34']"
242,7,22,"['A040', '0']"
new task..............,hasoto,0
271,"['A040', '0']"
271,4,"['B4527', '73']"
275,1,31,"['B8667', '25']"
307,1,20,"['B8124', '31']"
328,3,22,"['A040', '0']"
new task..............,hasoto,0
353,"['A040', '0']"
353,4,"['B5491', '46']"
357,1,25,"['B4613', '57']"
383,3,28,"['A040', '0']"
new task..............,hasoto,1
414,"['A040', '0']"
414,3,"['B4668', '57']"
417,1,28,"['B6359', '68']"
446,3,30,"['S411', '2', 444, 530]"
479,4,"['B2401', '-2', 534]"
483,0,9,"['A040', '0']"
186,892
new crir
new task..............,hasoto,0
0,"['A040', '0']"
0,1,"['B8761', '38']"
1,1,23,"['B1239', '38']"
25,1,23,"['B5045', '44']"
49,2,25,"['A040', '0']"
new task..............,hasoto,0
76,"['A040', '0']"
76,1,"['B5408', '45']"
77,1,25,"['B0933', '57']"
103,3,28,"['A040', '0']"
new task..............,hasoto,0
134,"['A040', '0']"
134,4,"['B7447', '45']"
138,1,25,"['B7731', '43']"
164,5,25,"['A040', '0']"
new task..............,hasoto,0
194,"['A040', '0']"
194,2,"['B3622', '37']"
196,1,23,"['B5646', '42']"
220,1,24,"['B1276', '41']"
245,3,24,"['A040', '0']"
new task..............,hasoto,0
272,"['A040', '0']"
272,3,"['B3578', '59']"
275,1,28,"['B0023', '45']"
304,3,25,"['A040', '0']"
new task..............,hasoto,0
332,"['A040', '0']"
332,4,"['B6261', '64']"
336,1,29,"['B3151', '47']"
366,5,26,"['A040', '0']"
new task..............,hasoto,0
397,"['A040', '0']"
397,0,"['B2401', '48']"
397,2,26,"['B9083', '46']"
425,1,25,"['B5871', '44']"
451,1,25,"['A040', '0']"
187,477
new crir
new task..............,hasoto,1
504,"['A040', '0']"
504,2,"['S408', 3, 506, 593]"
506,0,"['S408', 1, 509, 596]"
506,0,"['S408', 3, 509, 595]"
506,4,"['S382', 6, 515, 602]"
510,4,"['S408', 3, 516, 606]"
514,0,"['S408', 3, 524, 609]"
514,0,"['S408', 3, 524, 610]"
514,0,"['S408', 2, 543, 628]"
514,0,"['S408', 2, 567, 652]"
514,0,"['S408', 2, 605, 692]"
514,2,"['A040', '0']"
188,0
new crir
new task..............,hasoto,1
525,"['A040', '0']"
525,2,"['S408', 1, 527, 613]"
527,0,"['S408', 3, 529, 614]"
527,0,"['S408', 2, 531, 619]"
527,0,"['S408', 2, 543, 630]"
527,0,"['S408', 2, 546, 633]"
527,0,"['S408', 3, 567, 653]"
527,0,"['S408', 3, 570, 656]"
527,0,"['S408', 2, 571, 657]"
527,0,"['S408', 1, 572, 659]"
527,2,"['A040', '0']"
189,0
